customer_id,disbursed_amount,interest,market,employment,time_employed,householder,income,date_issued,target,loan_purpose,number_open_accounts,date_last_payment,number_credit_lines_12
18,13399.75,15.888,D,Bus driver,>5 years,MORTGAGE,30000,2015-12-18,0,Debt consolidation,15,2016-01-12,
19,15200,12.4545,B,Accountant,>5 years,RENT,49000,2013-04-11,0,Debt consolidation,12,2015-12-25,
20,30240,16.8201,D,Civil Servant,<=5 years,RENT,76000,2015-03-13,0,Debt consolidation,8,2016-01-20,
21,22275,12.3969,C,Statistician,>5 years,MORTGAGE,90250,2015-09-04,0,Debt consolidation,14,2016-01-01,
22,17108,17.3943,D,Civil Servant,<=5 years,RENT,40612.5,2015-09-24,0,Debt consolidation,6,2016-01-23,
23,13395,16.6915,D,Teacher,>5 years,MORTGAGE,52080,2014-05-20,0,Debt consolidation,20,2016-01-12,
24,18800,18.9905,E,Civil Servant,>5 years,MORTGAGE,78400,2014-04-18,0,Debt consolidation,12,2016-01-15,
25,4800,14.1772,D,Dentist,>5 years,RENT,117600,2015-12-17,0,Debt consolidation,14,2016-01-03,
26,9881.25,16.1644,D,,,OWNER,30906.1764,2013-12-08,0,Debt consolidation,8,2015-12-25,
27,13216.5,20.99,E,Civil Servant,>5 years,OWNER,26468.64,2015-06-06,0,Debt consolidation,9,2016-01-26,
28,14100,5.7998,A,Other,>5 years,RENT,37632,2011-01-01,0,Debt consolidation,14,2014-01-07,
29,2784,16.79,D,Accountant,<=5 years,RENT,36400,2014-02-06,0,Debt consolidation,13,2015-06-22,
30,9500,16.4803,D,Dentist,>5 years,RENT,161000,2014-10-04,0,Other,12,2016-01-22,
31,9200,15.066,C,Accountant,>5 years,RENT,61380,2013-11-12,0,Other,6,2015-11-23,
32,27440,7.821,A,Other,>5 years,MORTGAGE,131600,2013-07-19,0,Debt consolidation,10,2016-01-15,
33,19200,9.0909,B,Teacher,<=5 years,RENT,114000,2015-02-19,0,Debt consolidation,10,2015-04-06,
34,15152.5,13.33,C,Civil Servant,>5 years,RENT,37600,2015-04-23,0,Debt consolidation,20,2016-01-10,
35,16920,23.3966,E,Taxi driver,>5 years,MORTGAGE,69120,2013-09-21,0,Debt consolidation,15,2016-01-12,
36,27440,11.6748,C,Accountant,<=5 years,MORTGAGE,147000,2015-08-14,0,Debt consolidation,16,2015-12-10,
37,1395,9.1336,A,Software developer,<=5 years,RENT,45307.08,2009-07-04,0,Other,11,2012-08-08,
38,1000,18.288,D,Nurse,<=5 years,RENT,98880,2013-04-10,0,Health,20,2014-10-11,
39,15680,10.2207,B,Dentist,>5 years,RENT,44650,2014-05-05,0,Debt consolidation,18,2016-01-07,
40,23250,7.1799,A,Secretary,>5 years,RENT,89180,2015-11-10,0,Debt consolidation,18,2016-01-07,
41,18720,11.088,B,Accountant,>5 years,RENT,51150,2013-08-13,0,Debt consolidation,12,2016-01-13,
42,11960,9.1744,B,Taxi driver,<=5 years,RENT,53900,2012-07-10,0,Debt consolidation,12,2012-09-22,
43,19110,7.771,B,Teacher,>5 years,RENT,87300,2015-10-06,0,Debt consolidation,10,2016-01-25,
44,16767.5,9.6903,B,Secretary,<=5 years,MORTGAGE,50960,2015-10-03,0,Debt consolidation,7,2015-12-12,
45,17460,20.49,E,Teacher,<=5 years,RENT,47520,2015-04-04,0,Other,4,2015-12-09,
46,8736,11.9286,C,Civil Servant,<=5 years,MORTGAGE,73500,2015-05-12,0,Debt consolidation,10,2015-10-11,
47,11880,7.9764,B,Software developer,>5 years,OWNER,51700,2014-11-17,0,Debt consolidation,12,2015-12-13,
48,14379.75,9.1865,B,Civil Servant,>5 years,RENT,118340,2014-02-07,0,Debt consolidation,10,2015-11-27,
49,4550,9.17,B,Accountant,>5 years,MORTGAGE,53000,2015-03-13,0,Home improvements,8,2015-04-06,
50,9100,16.0923,D,Nurse,<=5 years,RENT,28800,2015-12-25,0,Debt consolidation,21,2016-01-25,2
51,5488,14.6734,D,Statistician,>5 years,RENT,77425,2014-09-19,0,Other,10,2016-01-01,
52,4850,16.9632,D,Civil Servant,<=5 years,RENT,73500,2014-09-05,0,Debt consolidation,17,2014-10-20,
53,21840,10.2207,B,Taxi driver,>5 years,MORTGAGE,97020,2014-02-04,0,Debt consolidation,20,2016-01-18,
54,9300,14.7609,D,Statistician,>5 years,MORTGAGE,51940,2011-03-20,0,Home improvements,8,2011-07-15,
55,14720,6.9342,A,Statistician,>5 years,RENT,42300,2014-04-17,0,Debt consolidation,6,2016-01-21,
56,11400,13.5703,C,Accountant,<=5 years,MORTGAGE,81310,2015-04-18,0,Debt consolidation,15,2015-12-12,
57,6336,10.8058,B,Bus driver,>5 years,OWNER,28200,2012-10-22,0,Debt consolidation,6,2014-10-20,
58,16296,16.1271,C,Bus driver,>5 years,MORTGAGE,72000,2012-12-26,0,Debt consolidation,7,2016-01-15,
59,14550,13.6409,C,Statistician,>5 years,MORTGAGE,58240,2014-07-02,0,Debt consolidation,21,2015-12-27,
60,9700,10.1374,B,Nurse,>5 years,MORTGAGE,47320,2013-05-23,0,Debt consolidation,16,2015-12-16,
61,5760,13.4208,C,Teacher,<=5 years,RENT,21840,2014-10-11,0,Debt consolidation,10,2016-01-10,
62,27900,16.6502,D,Civil Servant,>5 years,MORTGAGE,82000,2015-11-09,0,Debt consolidation,17,2016-01-11,
63,11880,13.1241,B,Dentist,>5 years,RENT,48020,2013-12-11,0,Debt consolidation,19,2015-12-23,
64,23520,17.8752,D,Nurse,>5 years,MORTGAGE,72750,2014-10-11,0,Debt consolidation,13,2016-01-19,
65,26320,11.4908,B,Secretary,>5 years,MORTGAGE,68600,2014-07-09,0,Debt consolidation,26,2016-01-12,
66,6080,7.1799,A,Civil Servant,>5 years,RENT,36400,2015-10-04,0,Debt consolidation,10,2015-12-17,
67,14000,13.4688,C,Teacher,<=5 years,MORTGAGE,92000,2014-03-02,0,Debt consolidation,11,2016-01-09,
68,14700,10.1108,B,Teacher,>5 years,MORTGAGE,33840,2014-02-01,0,Debt consolidation,14,2016-01-06,
69,13860,6.0904,A,Nurse,>5 years,MORTGAGE,61740,2012-07-06,0,Other,13,2015-07-07,
70,14250,7.8528,B,Teacher,>5 years,MORTGAGE,59150,2015-04-12,0,Debt consolidation,13,2016-01-07,
71,10230,7.89,A,Teacher,>5 years,OWNER,93840,2015-02-21,0,Debt consolidation,12,2015-04-15,
72,22176,5.8707,A,Teacher,>5 years,MORTGAGE,71047.7568,2015-04-08,0,Debt consolidation,9,2016-01-24,
73,15310.75,10.3306,B,Bus driver,<=5 years,RENT,74480,2015-02-08,0,Debt consolidation,9,2016-01-16,
74,7790,24.2915,E,Statistician,<=5 years,RENT,37000,2015-04-19,0,Other,12,2016-01-17,
75,20088,8.9866,B,Taxi driver,>5 years,MORTGAGE,101200,2015-09-06,0,Debt consolidation,16,2016-01-23,
76,20675,8.9,A,Other,>5 years,MORTGAGE,46060,2013-08-06,0,Debt consolidation,11,2014-12-27,
77,17820,13.281,C,Other,>5 years,RENT,89180,2014-10-26,0,Debt consolidation,10,2015-12-14,
78,19600,13.3224,C,Dentist,>5 years,RENT,90850,2014-04-13,0,Debt consolidation,12,2016-01-01,
79,1960,13.104,C,,,MORTGAGE,27027,2014-04-07,0,Other,9,2015-12-26,
80,33600,7.8111,A,Other,>5 years,MORTGAGE,109182.6008,2015-04-10,0,Debt consolidation,14,2016-01-10,
81,17460,4.8412,A,Civil Servant,>5 years,MORTGAGE,122850,2015-08-18,0,Other,5,2015-12-04,
82,18800,6.0357,A,Civil Servant,<=5 years,RENT,160050,2014-10-25,0,Debt consolidation,7,2016-01-05,
83,15000,14.99,C,Software developer,>5 years,MORTGAGE,46000,2014-07-14,0,Debt consolidation,15,2016-01-15,
84,24500,5.1604,A,Software developer,<=5 years,RENT,115000,2015-07-25,0,Debt consolidation,15,2016-01-21,
85,3713,14.3068,C,Teacher,>5 years,OWNER,19950,2013-07-20,0,Debt consolidation,2,2015-06-07,
86,3800,12.4362,C,,,RENT,8004.36,2015-07-05,0,Car purchase,7,2016-01-10,
87,1920,11.9938,C,Taxi driver,>5 years,MORTGAGE,43200,2015-11-05,0,Debt consolidation,18,2016-01-13,
88,7440,10.9155,B,Teacher,<=5 years,RENT,57600,2010-06-12,0,Debt consolidation,22,2012-11-12,
89,9215,8.8361,B,Nurse,>5 years,MORTGAGE,54600,2013-09-17,0,Debt consolidation,17,2015-06-21,
90,8705.75,13.0403,C,,,MORTGAGE,24570,2012-12-21,0,Other,15,2013-12-15,
91,10920,15.1417,D,Secretary,>5 years,MORTGAGE,44135,2014-06-20,0,Debt consolidation,11,2016-01-21,
92,13352.5,22.7409,E,Civil Servant,<=5 years,OWNER,36100,2015-03-10,0,Home improvements,20,2016-01-25,
93,12000,8.18,B,Other,<=5 years,RENT,36400,2015-08-21,0,Debt consolidation,12,2016-01-07,
94,16380,14.5173,D,Secretary,>5 years,MORTGAGE,72000,2015-03-02,0,Debt consolidation,12,2016-01-15,
95,28200,14.0231,D,Nurse,>5 years,MORTGAGE,83300,2015-11-17,0,Debt consolidation,27,2015-12-17,
96,15000,10.8801,B,Statistician,>5 years,RENT,109200,2015-05-16,0,Debt consolidation,10,2016-01-14,
97,6580,7.6074,B,Bus driver,>5 years,MORTGAGE,103950,2015-11-03,0,Debt consolidation,27,2016-01-13,
98,9500,15.4755,D,Statistician,>5 years,MORTGAGE,76000,2012-02-03,0,Debt consolidation,11,2014-04-12,
99,14550,9.17,B,Teacher,>5 years,RENT,33840,2015-04-05,0,Debt consolidation,12,2015-12-01,
100,5170,12.5856,B,Accountant,<=5 years,RENT,23573.376,2012-10-05,0,Debt consolidation,7,2014-08-01,
101,24250,13.7102,C,Dentist,<=5 years,RENT,117265.5,2015-03-02,0,Debt consolidation,8,2016-01-18,
102,8599.5,11.49,B,Dentist,>5 years,OWNER,32980,2015-11-19,0,Debt consolidation,8,2016-01-14,
103,5000,4.8944,A,Taxi driver,>5 years,MORTGAGE,88270,2015-07-15,0,Debt consolidation,14,2016-01-12,
104,10044,15.1223,D,Other,<=5 years,RENT,66500,2015-02-24,0,Debt consolidation,9,2016-01-13,
105,11520,17.2809,E,Accountant,>5 years,MORTGAGE,59044.8,2014-08-22,0,Home improvements,7,2015-11-15,
106,7128,13.1967,C,Nurse,>5 years,MORTGAGE,45600,2015-04-04,0,Debt consolidation,15,2016-01-05,
107,26315,13.771,C,Secretary,>5 years,MORTGAGE,58590,2015-10-01,0,Debt consolidation,9,2016-01-25,
108,4278,8.099,A,Statistician,>5 years,OWNER,29700,2012-11-20,0,Home improvements,6,2015-02-11,
109,3276,14.8239,D,Bus driver,>5 years,RENT,29440,2014-07-15,0,Health,22,2014-10-20,
110,3564,16.8201,D,Taxi driver,>5 years,MORTGAGE,39100,2015-11-13,0,Debt consolidation,6,2016-01-04,
111,14250,13.5333,C,Software developer,>5 years,RENT,118800,2015-12-04,0,Debt consolidation,11,2010-12-05,2
112,12000,6.2124,A,Dentist,<=5 years,RENT,65800,2015-03-05,0,Debt consolidation,12,2016-01-19,
113,13800,15.4609,D,Other,>5 years,RENT,35890,2015-05-24,0,Debt consolidation,19,2015-12-18,
114,6256.5,12.2123,C,Taxi driver,>5 years,MORTGAGE,49470,2015-11-15,0,Debt consolidation,9,2016-01-09,
115,15312.5,13.5703,C,,,RENT,31280,2015-10-27,0,Debt consolidation,12,2016-01-11,
116,10000,10.6764,B,Teacher,>5 years,MORTGAGE,38000,2015-12-23,0,Debt consolidation,10,2014-04-23,4
117,11160,9.8901,B,Secretary,<=5 years,RENT,25760,2015-10-14,0,Debt consolidation,9,2016-01-10,
118,6580,15.1223,D,Dentist,<=5 years,RENT,44512.2054,2015-01-10,0,Home improvements,6,2015-12-26,
119,4535.5,15.0969,D,Nurse,<=5 years,MORTGAGE,36860,2014-02-05,0,Debt consolidation,23,2015-06-26,
120,17280,5.9697,A,Nurse,<=5 years,RENT,53360,2014-08-16,0,Debt consolidation,7,2016-01-22,
121,22750,17.3242,D,Teacher,<=5 years,RENT,57000,2015-11-01,0,Debt consolidation,6,2016-01-17,
122,10304,17.8467,E,Bus driver,>5 years,RENT,94000,2015-10-06,0,Other,8,2016-01-17,
123,19600,9.1575,A,Statistician,>5 years,MORTGAGE,74400,2013-10-23,0,Debt consolidation,12,2015-05-26,
124,14250,14.8105,D,Statistician,>5 years,MORTGAGE,29760,2015-01-08,0,Debt consolidation,10,2015-12-06,
125,9300,11.4475,C,Dentist,<=5 years,RENT,136320,2015-11-24,0,Debt consolidation,16,2016-01-21,
126,19000,11.8017,C,Statistician,<=5 years,RENT,98000,2015-10-15,0,Debt consolidation,15,2015-12-21,
127,4074,13.1629,C,Taxi driver,<=5 years,RENT,29016,2009-09-15,0,Debt consolidation,8,2011-03-01,
128,26505,13.2165,C,Statistician,<=5 years,MORTGAGE,75200,2014-11-08,0,Debt consolidation,18,2016-01-24,
129,22800,12.7215,B,Secretary,>5 years,OWNER,96773.04,2014-01-26,0,Debt consolidation,13,2015-05-04,
130,3840,9.2456,B,Teacher,>5 years,MORTGAGE,37200,2012-09-24,0,Debt consolidation,8,2015-09-13,
131,7760,8.4051,B,Bus driver,>5 years,MORTGAGE,39200,2015-12-19,0,Debt consolidation,15,2015-10-14,1
132,8000,16.5792,C,Software developer,>5 years,RENT,49500,2013-04-21,0,Debt consolidation,20,2015-12-05,
133,10340,8.277,A,Secretary,<=5 years,RENT,37440,2014-01-02,0,Debt consolidation,6,2016-01-11,
134,3375,15.557,D,Taxi driver,<=5 years,MORTGAGE,43710,2015-06-23,0,Debt consolidation,9,2016-01-17,
135,9600,6.9696,A,Teacher,<=5 years,RENT,48510,2015-12-02,0,Debt consolidation,8,2016-01-27,
136,19400,6.6928,A,Software developer,>5 years,RENT,89100,2014-10-15,0,Debt consolidation,18,2015-12-15,
137,4850,16.79,D,Bus driver,<=5 years,OWNER,23246.28,2011-09-06,0,Debt consolidation,7,2016-01-23,
138,9400,15.3915,D,Nurse,<=5 years,RENT,31960,2015-07-06,0,Debt consolidation,9,2015-08-03,
139,5510,13.2104,C,Teacher,<=5 years,MORTGAGE,39600,2010-02-12,0,Other,10,2011-05-24,
140,4292.25,7.6349,A,Bus driver,>5 years,RENT,38253.65,2014-10-17,0,Debt consolidation,11,2015-09-07,
141,3840,12.1422,C,Dentist,<=5 years,MORTGAGE,38800,2015-01-20,0,Debt consolidation,13,2015-12-07,
142,25875,12.99,B,Taxi driver,>5 years,MORTGAGE,68620,2013-09-20,0,Debt consolidation,12,2015-12-02,
143,24304,10.6603,B,Accountant,<=5 years,MORTGAGE,88360,2015-10-20,0,Debt consolidation,7,2016-01-06,
144,19000,14.49,C,Dentist,<=5 years,MORTGAGE,275000,2014-09-01,0,Debt consolidation,25,2015-07-08,
145,7760,8.7997,B,Accountant,>5 years,MORTGAGE,51480,2014-01-26,0,Debt consolidation,12,2016-01-09,
146,4650,10.2466,B,Other,<=5 years,OWNER,14803.1588,2009-07-16,0,Debt consolidation,16,2012-05-02,
147,5940,8.722,A,Other,<=5 years,RENT,34300,2014-05-15,0,Debt consolidation,9,2015-10-16,
148,10000,7.8624,A,Software developer,>5 years,RENT,37200,2015-01-09,0,Debt consolidation,5,2016-01-08,
149,13968,9.2365,B,Teacher,<=5 years,RENT,41400,2014-10-17,0,Debt consolidation,16,2016-01-02,
150,9936,11.14,B,Nurse,<=5 years,RENT,73600,2013-04-20,0,Debt consolidation,7,2015-03-12,
151,9900,16.7519,C,Civil Servant,<=5 years,RENT,32550,2013-04-23,0,Debt consolidation,14,2015-12-03,
152,20370,5.6682,A,,,MORTGAGE,47530.16,2013-08-10,0,Debt consolidation,11,2015-12-06,
153,5445,10.583,B,Civil Servant,>5 years,RENT,29400,2012-10-17,0,Debt consolidation,7,2015-10-12,
154,9300,8.9866,B,Accountant,>5 years,MORTGAGE,95000,2015-10-25,0,Debt consolidation,9,2016-01-01,
155,21120,14.694,C,Software developer,>5 years,MORTGAGE,78400,2013-04-17,0,Debt consolidation,19,2016-01-03,
156,6912,11.8017,C,Bus driver,>5 years,OWNER,48960,2015-03-27,0,Debt consolidation,9,2016-01-15,
157,9500,16.682,D,Software developer,<=5 years,RENT,77600,2013-08-25,0,Other,8,2015-01-15,
158,5390,11.4908,B,Secretary,>5 years,RENT,87300,2014-07-06,0,Debt consolidation,18,2015-06-04,
159,18960,20.5702,E,Bus driver,>5 years,MORTGAGE,42750,2014-11-16,0,Debt consolidation,16,2015-11-23,
160,23760,5.9094,A,Taxi driver,<=5 years,MORTGAGE,134850,2014-12-02,0,Debt consolidation,17,2016-01-25,
161,19800,7.426,A,Software developer,<=5 years,MORTGAGE,54280,2012-03-15,0,Other,13,2013-09-08,
162,34300,14.3612,D,Bus driver,<=5 years,MORTGAGE,124740,2015-07-21,0,Debt consolidation,24,2016-01-12,
163,11280,7.0866,A,,,MORTGAGE,40320,2014-03-22,0,Debt consolidation,7,2014-10-16,
164,6900,11.1453,B,Teacher,<=5 years,MORTGAGE,44100,2015-12-15,0,Debt consolidation,10,2016-01-21,
165,25440,14.5403,C,Bus driver,>5 years,MORTGAGE,82170,2014-11-27,0,Debt consolidation,8,2016-01-03,
166,3552.5,20.49,E,Other,>5 years,MORTGAGE,30251.8,2014-02-02,0,Debt consolidation,10,2014-10-15,
167,31850,16.29,C,Other,>5 years,OWNER,206630.8,2013-03-16,0,Home improvements,14,2014-07-14,
168,15470,13.7102,C,Statistician,<=5 years,MORTGAGE,45570,2015-04-06,0,Debt consolidation,12,2016-01-04,
169,15520,13.99,C,Other,<=5 years,RENT,58000,2015-04-15,0,Debt consolidation,8,2016-01-16,
170,28800,7.8866,A,Nurse,>5 years,MORTGAGE,228000,2014-10-08,0,Debt consolidation,26,2016-01-27,
171,19646.25,14.3904,C,Teacher,<=5 years,OWNER,44650,2014-09-14,0,Home improvements,21,2016-01-10,
172,7073.5,13.7004,C,Software developer,>5 years,MORTGAGE,40040,2014-05-25,0,Debt consolidation,12,2016-01-25,
173,2760,6.4251,A,,,MORTGAGE,64990,2014-12-04,0,Debt consolidation,10,2015-04-11,
174,32200,8.3447,B,Teacher,>5 years,MORTGAGE,196000,2014-07-25,0,Debt consolidation,14,2016-01-10,
175,8510,12.4545,C,Bus driver,>5 years,OWNER,19809,2010-05-11,0,Debt consolidation,13,2011-05-23,
176,14675,27.0436,E,Civil Servant,>5 years,OWNER,102000,2015-12-19,0,Other,8,2016-01-22,
177,15000,18.3724,D,Secretary,<=5 years,MORTGAGE,192000,2013-12-27,0,Debt consolidation,5,2016-01-01,
178,21780,9.49,B,Teacher,>5 years,RENT,109200,2015-01-18,0,Debt consolidation,21,2016-01-21,
179,11640,11.2032,B,Bus driver,>5 years,MORTGAGE,55800,2014-07-18,0,Debt consolidation,14,2015-12-13,
180,7520,13.8501,C,Software developer,>5 years,MORTGAGE,76950,2015-04-14,0,Debt consolidation,15,2016-01-09,
181,18200,8.455,A,Taxi driver,>5 years,MORTGAGE,141000,2013-05-14,0,Debt consolidation,15,2016-01-18,
182,17280,10.6603,B,Nurse,<=5 years,OWNER,73990,2015-05-07,0,Debt consolidation,28,2016-01-02,
183,21120,12.5672,C,Civil Servant,<=5 years,RENT,75200,2014-11-16,0,Debt consolidation,7,2015-12-19,
184,11466,12.0612,B,Teacher,<=5 years,RENT,35720,2012-09-16,0,Debt consolidation,15,2014-08-05,
185,9800,12.6528,C,Nurse,>5 years,RENT,28200,2015-11-25,0,Debt consolidation,11,2016-01-06,
186,24000,15.9887,D,Civil Servant,<=5 years,RENT,82000,2014-10-14,0,Home improvements,10,2016-01-04,
187,6650,7.4955,A,Secretary,<=5 years,MORTGAGE,116400,2015-11-22,0,Debt consolidation,8,2016-01-10,
188,6814.25,16.8201,D,Accountant,<=5 years,RENT,22000,2015-08-10,0,Moving home,6,2015-12-17,
189,16000,9.8455,B,Bus driver,>5 years,MORTGAGE,216000,2014-10-04,0,Debt consolidation,13,2015-10-11,
190,19577.25,7.6074,B,Nurse,>5 years,MORTGAGE,71609.2,2015-03-06,0,Debt consolidation,14,2015-12-22,
191,18600,9.2907,B,Other,<=5 years,RENT,135800,2015-07-21,0,Debt consolidation,11,2016-01-11,
192,16910,7.7188,A,Accountant,>5 years,MORTGAGE,59800,2014-06-19,0,Debt consolidation,15,2016-01-07,
193,9991,5.6682,A,Nurse,<=5 years,MORTGAGE,77000,2014-07-17,0,Debt consolidation,12,2015-09-01,
194,17100,14.3612,C,Teacher,<=5 years,MORTGAGE,92056.48,2014-02-22,0,Debt consolidation,14,2014-03-17,
195,12804,12.549,C,Software developer,<=5 years,MORTGAGE,59220,2014-07-18,0,Debt consolidation,13,2016-01-01,
196,31360,15.3915,D,Civil Servant,>5 years,OWNER,142880,2015-10-21,0,Debt consolidation,12,2015-12-06,
197,9900,14.2051,C,Software developer,>5 years,RENT,47940,2014-01-05,0,Debt consolidation,11,2015-06-19,
198,15092,18.9905,E,Bus driver,<=5 years,MORTGAGE,30080,2015-06-25,0,Home improvements,12,2015-07-15,
199,14850,11.6755,C,Other,>5 years,RENT,67200,2015-07-02,0,Debt consolidation,11,2015-12-18,
200,17100,9.6903,B,Teacher,>5 years,MORTGAGE,67900,2015-07-04,0,Debt consolidation,19,2016-01-13,
201,21340,12.4704,C,Secretary,<=5 years,MORTGAGE,69000,2014-10-18,0,Debt consolidation,11,2016-01-17,
202,6000,12.9675,C,Other,>5 years,RENT,78960,2014-05-26,0,Debt consolidation,16,2016-01-06,
203,9500,10.626,B,Statistician,>5 years,RENT,53940,2013-08-26,0,Debt consolidation,14,2014-08-17,
204,9800,8.366,A,Dentist,<=5 years,MORTGAGE,85500,2013-04-26,0,Debt consolidation,12,2015-12-20,
205,9940.5,20.8356,E,Nurse,>5 years,RENT,224742.6727,2013-12-01,0,Debt consolidation,11,2015-12-23,
206,11640,6.4251,A,Software developer,<=5 years,RENT,83700,2014-10-07,0,Debt consolidation,15,2016-01-01,
207,8550,8.5281,B,Nurse,>5 years,MORTGAGE,44100,2015-07-05,0,Debt consolidation,19,2015-12-16,
208,9571.25,7.6349,A,Other,<=5 years,MORTGAGE,84630,2014-05-05,0,Debt consolidation,7,2016-01-08,
209,11280,7.12,A,Statistician,<=5 years,RENT,63480,2014-07-22,0,Debt consolidation,8,2015-12-01,
210,23040,11.5104,B,Bus driver,<=5 years,MORTGAGE,99000,2013-10-08,0,Debt consolidation,10,2014-11-22,
211,13432,13.3315,C,Taxi driver,<=5 years,OWNER,50440,2012-06-22,0,Debt consolidation,8,2013-07-27,
212,16660,10.3224,B,Software developer,>5 years,MORTGAGE,62560,2015-12-10,0,Debt consolidation,17,2016-01-08,
213,14400,12.2402,B,Secretary,<=5 years,MORTGAGE,80640,2014-04-15,0,Debt consolidation,13,2016-01-07,
214,9120,13.771,C,Statistician,>5 years,MORTGAGE,45500,2015-08-21,0,Debt consolidation,8,2016-01-26,
215,5700,13.1241,B,Secretary,<=5 years,RENT,23500,2014-02-19,0,Debt consolidation,4,2015-07-15,
216,13580,16.9686,D,Accountant,<=5 years,RENT,49000,2015-01-14,0,Debt consolidation,8,2016-01-13,
217,16740,14.5173,D,Taxi driver,>5 years,RENT,51700,2014-06-18,0,Debt consolidation,18,2016-01-03,
218,11088,17.0429,D,Nurse,<=5 years,MORTGAGE,31680,2015-11-20,0,Debt consolidation,5,2016-01-16,
219,32550,15.4341,D,,,OWNER,96252.24,2014-11-22,0,Debt consolidation,15,2015-08-22,
220,8835,7.6892,B,Software developer,>5 years,MORTGAGE,59000,2015-10-08,0,Debt consolidation,14,2015-11-16,
221,13720,7.9443,A,Accountant,>5 years,MORTGAGE,107986.944,2015-01-26,0,Debt consolidation,13,2016-01-15,
222,18400,13.0403,C,Statistician,>5 years,RENT,48613.49,2012-09-24,0,Debt consolidation,11,2016-01-17,
223,11625,12.1824,C,Statistician,>5 years,MORTGAGE,51909.2574,2015-02-16,0,Debt consolidation,7,2016-01-23,
224,8000,7.1799,A,Accountant,<=5 years,RENT,61750,2015-07-22,0,Debt consolidation,7,2016-01-11,
225,5390,10.5252,B,Teacher,<=5 years,RENT,33600,2012-06-23,0,Debt consolidation,13,2014-10-13,
226,19110,10.99,B,Software developer,>5 years,RENT,101200,2015-02-09,0,Debt consolidation,12,2016-01-02,
227,7425,12.4704,C,Nurse,>5 years,RENT,62200,2014-12-03,0,Debt consolidation,7,2016-01-06,
228,19926.25,14.6734,D,Nurse,<=5 years,RENT,47000,2014-10-12,0,Debt consolidation,10,2016-01-10,
229,22750,13.0977,C,Statistician,<=5 years,RENT,141000,2010-10-09,0,Debt consolidation,13,2015-03-18,
230,10000,14.8507,C,Software developer,>5 years,MORTGAGE,107910,2012-06-04,0,Debt consolidation,11,2013-12-18,
231,10340,10.6603,B,,,MORTGAGE,45000,2014-10-06,0,Debt consolidation,18,2016-01-12,
232,2760,12.12,B,,,RENT,35720,2012-08-06,0,Debt consolidation,10,2015-04-27,
233,24960,19.4655,E,Bus driver,>5 years,RENT,123500,2012-08-21,0,Other,11,2013-03-01,
234,3760,9.7902,B,,,OWNER,28500,2015-04-26,0,Health,11,2015-12-15,
235,5940,5.5476,A,Nurse,<=5 years,RENT,40000,2014-06-05,0,Debt consolidation,17,2015-03-20,
236,21840,16.8268,E,Statistician,<=5 years,OWNER,153767.25,2008-02-06,0,Other,23,2008-06-23,
237,20247.5,17.25,D,Accountant,>5 years,MORTGAGE,63700,2012-09-02,0,Debt consolidation,12,2015-04-18,
238,15732,7.6533,A,Taxi driver,<=5 years,MORTGAGE,106400,2015-03-08,0,Debt consolidation,11,2016-01-11,
239,12305,16.3104,D,Secretary,>5 years,MORTGAGE,48960,2015-03-24,0,Debt consolidation,14,2016-01-25,
